"","LON","LAT","set"
"338",120.7792,22.37917,"狥场"
"339",120.7875,22.37917,"狥场"
"340",120.7958,22.37917,"狥场"
"341",120.8042,22.37917,"狥场"
"342",120.8125,22.37917,"狥场"
"343",120.8208,22.37917,"狥场"
"344",120.8292,22.37917,"狥场"
"345",120.8375,22.37917,"狥场"
"346",120.8458,22.37917,"狥场"
"347",120.8542,22.37917,"狥场"
"348",120.8625,22.37917,"狥场"
"349",120.8708,22.37917,"狥场"
"350",120.8792,22.37917,"狥场"
"351",120.8875,22.37917,"狥场"
"352",120.8958,22.37917,"狥场"
"353",120.9042,22.37917,"狥场"
"354",120.9125,22.37917,"狥场"
"355",120.7542,22.3875,"狥场"
"356",120.7625,22.3875,"狥场"
"357",120.7708,22.3875,"狥场"
"358",120.7792,22.3875,"狥场"
"359",120.7875,22.3875,"狥场"
"360",120.7958,22.3875,"狥场"
"361",120.8042,22.3875,"狥场"
"362",120.8125,22.3875,"狥场"
"363",120.8208,22.3875,"狥场"
"364",120.8292,22.3875,"狥场"
"365",120.8375,22.3875,"狥场"
"366",120.8458,22.3875,"狥场"
"367",120.8542,22.3875,"狥场"
"368",120.8625,22.3875,"狥场"
"369",120.8708,22.3875,"狥场"
"370",120.8792,22.3875,"狥场"
"371",120.8875,22.3875,"狥场"
"372",120.8958,22.3875,"狥场"
"373",120.9042,22.3875,"狥场"
"374",120.9125,22.3875,"狥场"
"375",120.9208,22.3875,"狥场"
"376",120.7542,22.39583,"狥场"
"377",120.7625,22.39583,"狥场"
"378",120.7708,22.39583,"狥场"
"379",120.7792,22.39583,"狥场"
"380",120.7875,22.39583,"狥场"
"381",120.7958,22.39583,"狥场"
"382",120.8042,22.39583,"狥场"
"383",120.8125,22.39583,"狥场"
"384",120.8208,22.39583,"狥场"
"385",120.8292,22.39583,"狥场"
"386",120.8375,22.39583,"狥场"
"387",120.8458,22.39583,"狥场"
"388",120.8542,22.39583,"狥场"
"389",120.8625,22.39583,"狥场"
"390",120.8708,22.39583,"狥场"
"391",120.8792,22.39583,"狥场"
"392",120.8875,22.39583,"狥场"
"393",120.8958,22.39583,"狥场"
"394",120.9042,22.39583,"狥场"
"395",120.9125,22.39583,"狥场"
"396",120.9208,22.39583,"狥场"
"397",120.7542,22.40417,"狥场"
"398",120.7625,22.40417,"狥场"
"399",120.7708,22.40417,"狥场"
"400",120.7792,22.40417,"狥场"
"401",120.7875,22.40417,"狥场"
"402",120.7958,22.40417,"狥场"
"403",120.8042,22.40417,"狥场"
"404",120.8125,22.40417,"狥场"
"405",120.8208,22.40417,"狥场"
"406",120.8292,22.40417,"狥场"
"407",120.8375,22.40417,"狥场"
"408",120.8458,22.40417,"狥场"
"409",120.8542,22.40417,"狥场"
"410",120.8625,22.40417,"狥场"
"411",120.8708,22.40417,"狥场"
"412",120.8792,22.40417,"狥场"
"413",120.8875,22.40417,"狥场"
"414",120.8958,22.40417,"狥场"
"415",120.9042,22.40417,"狥场"
"416",120.9125,22.40417,"狥场"
"417",120.9208,22.40417,"狥场"
"418",120.9292,22.40417,"狥场"
"419",120.7625,22.4125,"狥场"
"420",120.7708,22.4125,"狥场"
"421",120.7792,22.4125,"狥场"
"422",120.7875,22.4125,"狥场"
"423",120.7958,22.4125,"狥场"
"424",120.8042,22.4125,"狥场"
"425",120.8125,22.4125,"狥场"
"426",120.8208,22.4125,"狥场"
"427",120.8292,22.4125,"狥场"
"428",120.8375,22.4125,"狥场"
"429",120.8458,22.4125,"狥场"
"430",120.8542,22.4125,"狥场"
"431",120.8625,22.4125,"狥场"
"432",120.8708,22.4125,"狥场"
"433",120.8792,22.4125,"狥场"
"434",120.8875,22.4125,"狥场"
"435",120.8958,22.4125,"狥场"
"436",120.9042,22.4125,"狥场"
"437",120.9125,22.4125,"狥场"
"438",120.9208,22.4125,"狥场"
"439",120.9292,22.4125,"狥场"
"440",120.7875,22.42083,"狥场"
"441",120.7958,22.42083,"狥场"
"442",120.8042,22.42083,"狥场"
"443",120.8125,22.42083,"狥场"
"444",120.8208,22.42083,"狥场"
"445",120.8292,22.42083,"狥场"
"446",120.8375,22.42083,"狥场"
"447",120.8458,22.42083,"狥场"
"448",120.8542,22.42083,"狥场"
"449",120.8625,22.42083,"狥场"
"450",120.8708,22.42083,"狥场"
"451",120.8792,22.42083,"狥场"
"452",120.8875,22.42083,"狥场"
